"Zeitstempel","Please provide your speedrun.com username: // Por favor, envie o seu nome de usuÃ¡rio no speedrun.com:"
"2022/08/16 10:26:00 PM OEZ","VyPr"
"2022/08/17 4:48:29 AM OEZ","Aiivan"
"2022/08/17 8:44:09 PM OEZ","bl4ckz_br"
"2022/08/17 9:41:17 PM OEZ","vfzinffx"
"2022/08/17 9:41:31 PM OEZ","leozingomess"
"2022/08/17 10:11:03 PM OEZ","RICK"
"2022/08/17 10:25:16 PM OEZ","Mkzin086"
"2022/08/17 11:11:28 PM OEZ","Lalao123"
"2022/08/17 11:30:39 PM OEZ","treembala"
"2022/08/18 12:38:16 AM OEZ","Derick "
"2022/08/18 12:40:08 AM OEZ","Blindado"
"2022/08/18 12:41:04 AM OEZ","Nezcalz"
"2022/08/18 12:51:11 AM OEZ","sebb6011"
"2022/08/18 1:07:30 AM OEZ","Benicinnx"
"2022/08/18 1:58:17 AM OEZ","Jeansxz"
"2022/08/18 2:19:26 AM OEZ","Aninha1545"
"2022/08/18 4:05:10 AM OEZ","troatz"
"2022/08/18 4:19:01 AM OEZ","gz_guizinn_021"
"2022/08/18 2:44:58 PM OEZ","andrenevss"
"2022/08/18 10:14:48 PM OEZ","Renan_06"
"2022/08/18 11:03:11 PM OEZ","adrianus"
"2022/08/18 11:11:10 PM OEZ","JBrian"
"2022/08/19 12:02:43 AM OEZ","RafaaSBW"
"2022/08/19 1:23:01 AM OEZ","Otavin "
"2022/08/19 2:11:56 AM OEZ","rodboy"
"2022/08/19 2:24:32 AM OEZ","Davi bravo"
"2022/08/19 3:39:13 AM OEZ","andrenevss"
"2022/08/19 12:32:50 PM OEZ","hgznx"
"2022/08/19 12:59:03 PM OEZ","hgznx"
"2022/08/19 1:27:16 PM OEZ","mikas1"
"2022/08/19 1:46:42 PM OEZ","Pr3tty_Santii"
"2022/08/19 3:19:43 PM OEZ","Baianoxs7"
"2022/08/19 4:30:02 PM OEZ","oi"
"2022/08/19 5:09:20 PM OEZ","ghost0"
"2022/08/19 8:01:13 PM OEZ","lu4ao"
"2022/08/20 4:21:36 AM OEZ","Me"
"2022/08/20 11:01:50 AM OEZ","27azn"
"2022/08/20 11:07:58 AM OEZ","27azn"
"2022/08/20 2:13:43 PM OEZ","iTs_Riks"
"2022/08/20 8:05:04 PM OEZ","mattzera"
"2022/08/20 11:02:56 PM OEZ","tiagoromine"
"2022/08/20 11:36:55 PM OEZ","tiagoromine"
"2022/08/21 12:03:08 AM OEZ","Yondayme"
"2022/08/21 12:05:10 AM OEZ","Yondayme "
"2022/08/21 4:12:59 AM OEZ","Aceita minha run pvfr ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­ðŸ˜­"
"2022/08/21 11:01:34 AM OEZ","miketuro"
"2022/08/21 5:13:20 PM OEZ","onlyvasco"
"2022/08/21 6:32:27 PM OEZ","zeninaaagbr"
"2022/08/22 12:27:21 AM OEZ","ErickZn"
"2022/08/22 12:28:19 AM OEZ","ErickZn"
"2022/08/22 1:56:31 PM OEZ","iTs_Riks"
"2022/08/23 1:59:57 AM OEZ","Tub4xx"